               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  78,            0.032153,           0.0075875,           0.0026121,             0.53912,             0.64286,             0.59089,             0.14828,            0.015668,            0.024195,          0.00044823,           0.0097459,           0.0097459,           0.0097459
                  79,            0.026703,           0.0077179,           0.0018752,              0.5328,             0.67062,             0.59213,             0.38131,            0.010926,            0.023352,          0.00045776,           0.0097426,           0.0097426,           0.0097426
                  80,             0.02896,           0.0083448,           0.0023217,              0.5328,             0.67062,             0.59213,             0.38131,            0.010926,            0.023352,          0.00045776,           0.0097393,           0.0097393,           0.0097393
                  81,            0.019564,           0.0069645,           0.0017083,             0.54999,             0.78571,             0.59003,             0.36247,            0.011696,            0.023091,          0.00040855,            0.009736,            0.009736,            0.009736
                  82,            0.028359,           0.0073322,           0.0018472,             0.54999,             0.78571,             0.59003,             0.36247,            0.011696,            0.023091,          0.00040855,           0.0097327,           0.0097327,           0.0097327
                  83,            0.027966,           0.0079186,           0.0025502,             0.53356,             0.85714,             0.58722,             0.32249,            0.012798,            0.023488,          0.00041695,           0.0097294,           0.0097294,           0.0097294
                  84,            0.020059,           0.0054069,           0.0014568,             0.53356,             0.85714,             0.58722,             0.32249,            0.012798,            0.023488,          0.00041695,           0.0097261,           0.0097261,           0.0097261
                  85,            0.029092,           0.0066595,           0.0031938,             0.53684,             0.85714,             0.58356,             0.30639,            0.012628,            0.022484,          0.00040932,           0.0097228,           0.0097228,           0.0097228
                  86,            0.031418,           0.0071706,           0.0019198,             0.53684,             0.85714,             0.58356,             0.30639,            0.012628,            0.022484,          0.00040932,           0.0097195,           0.0097195,           0.0097195
                  87,            0.028756,           0.0071215,           0.0021965,             0.54151,             0.78571,             0.59591,             0.30553,            0.013165,            0.023337,          0.00042572,           0.0097162,           0.0097162,           0.0097162
                  88,            0.025822,           0.0060799,           0.0019047,             0.54151,             0.78571,             0.59591,             0.30553,            0.013165,            0.023337,          0.00042572,           0.0097129,           0.0097129,           0.0097129
                  89,            0.021578,           0.0070461,           0.0011313,             0.47968,             0.71429,             0.61439,             0.35491,            0.012335,            0.023354,          0.00042381,           0.0097096,           0.0097096,           0.0097096
                  90,            0.019327,           0.0068011,            0.001219,             0.47968,             0.71429,             0.61439,             0.35491,            0.012335,            0.023354,          0.00042381,           0.0097063,           0.0097063,           0.0097063
                  91,            0.027296,           0.0058845,            0.002104,              0.4941,             0.71429,             0.60845,             0.35751,             0.01182,            0.023515,          0.00043488,            0.009703,            0.009703,            0.009703
                  92,            0.036731,           0.0055803,           0.0021237,              0.4941,             0.71429,             0.60845,             0.35751,             0.01182,            0.023515,          0.00043488,           0.0096997,           0.0096997,           0.0096997
                  93,            0.020701,            0.006062,           0.0013137,             0.47643,             0.78571,             0.61347,             0.36703,            0.010698,            0.024384,          0.00044136,           0.0096964,           0.0096964,           0.0096964
                  94,            0.025732,           0.0079696,           0.0020622,             0.47643,             0.78571,             0.61347,             0.36703,            0.010698,            0.024384,          0.00044136,           0.0096931,           0.0096931,           0.0096931
                  95,             0.01926,           0.0067015,            0.001325,             0.36328,             0.71429,             0.58994,             0.35127,            0.010019,            0.024743,          0.00045509,           0.0096898,           0.0096898,           0.0096898
                  96,            0.018541,           0.0073321,           0.0013941,             0.36328,             0.71429,             0.58994,             0.35127,            0.010019,            0.024743,          0.00045509,           0.0096865,           0.0096865,           0.0096865
                  97,            0.018231,           0.0064533,           0.0013363,             0.56831,             0.71429,             0.62389,             0.31093,            0.013576,             0.02415,          0.00048714,           0.0096832,           0.0096832,           0.0096832
                  98,            0.019498,           0.0071697,           0.0012141,             0.56831,             0.71429,             0.62389,             0.31093,            0.013576,             0.02415,          0.00048714,           0.0096799,           0.0096799,           0.0096799
                  99,            0.018418,           0.0069442,            0.001258,             0.55036,             0.71429,             0.60081,             0.36129,           0.0097262,            0.024296,          0.00045471,           0.0096766,           0.0096766,           0.0096766
                 100,             0.02498,           0.0080435,           0.0025457,             0.55036,             0.71429,             0.60081,             0.36129,           0.0097262,            0.024296,          0.00045471,           0.0096733,           0.0096733,           0.0096733
                 101,            0.018786,             0.00661,           0.0011198,             0.46143,             0.64286,             0.59758,             0.31337,            0.015725,            0.022479,          0.00042152,             0.00967,             0.00967,             0.00967
                 102,            0.025735,           0.0079272,           0.0017376,             0.46143,             0.64286,             0.59758,             0.31337,            0.015725,            0.022479,          0.00042152,           0.0096667,           0.0096667,           0.0096667
                 103,            0.030159,           0.0088413,           0.0014114,             0.51798,             0.64286,             0.60414,             0.39205,           0.0094028,            0.024405,          0.00048714,           0.0096634,           0.0096634,           0.0096634
                 104,            0.020373,           0.0064958,            0.001712,             0.51798,             0.64286,             0.60414,             0.39205,           0.0094028,            0.024405,          0.00048714,           0.0096601,           0.0096601,           0.0096601
                 105,            0.024105,           0.0072365,           0.0023658,             0.53051,             0.71429,             0.60024,              0.4014,            0.010862,              0.0239,          0.00044022,           0.0096568,           0.0096568,           0.0096568
                 106,            0.024169,           0.0088391,           0.0018192,             0.53051,             0.71429,             0.60024,              0.4014,            0.010862,              0.0239,          0.00044022,           0.0096535,           0.0096535,           0.0096535
                 107,            0.018363,           0.0064391,           0.0018363,             0.55508,             0.78571,             0.61462,             0.36557,           0.0092718,            0.023906,          0.00042267,           0.0096502,           0.0096502,           0.0096502
                 108,            0.025948,           0.0065278,            0.001743,             0.55508,             0.78571,             0.61462,             0.36557,           0.0092718,            0.023906,          0.00042267,           0.0096469,           0.0096469,           0.0096469
                 109,            0.020339,           0.0079307,           0.0015872,             0.55424,             0.78571,             0.61093,             0.40136,           0.0099968,            0.023555,          0.00039215,           0.0096436,           0.0096436,           0.0096436
                 110,            0.021704,           0.0071589,           0.0015079,             0.55424,             0.78571,             0.61093,             0.40136,           0.0099968,            0.023555,          0.00039215,           0.0096403,           0.0096403,           0.0096403
                 111,              0.0231,           0.0082596,           0.0017045,             0.55531,             0.71429,             0.61218,             0.38957,           0.0086632,              0.0235,          0.00037251,            0.009637,            0.009637,            0.009637
                 112,            0.021072,           0.0075175,           0.0016229,             0.55531,             0.71429,             0.61218,             0.38957,           0.0086632,              0.0235,          0.00037251,           0.0096337,           0.0096337,           0.0096337
                 113,            0.016973,           0.0069349,          0.00095749,              0.5794,             0.72675,             0.62107,             0.21946,            0.016011,            0.023016,          0.00038013,           0.0096304,           0.0096304,           0.0096304
